RESIDENCY_GROUP_DESCR,ACADEMIC_YEAR,TERM,TERM_DESCR,ACADEMIC_CAREER_DESCR,ACAD_PROG,ACADEMIC_PROGRAM_DESCR,COURSE_ID,OFFER_NUMBER,FACULTY,FACULTY_DESCR,SCHOOL,SCHOOL_NAME,COURSE_NAME,GENDER,FIRST_GENERATION_IND,ATSI_DESC,ATSI_GROUP,REGIONAL_REMOTE,SES,ADMISSION_PATHWAY,COURSE_CODE,CATALOG_NUMBER,CRSE_ATTR,MASKED_ID
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,Medium,Others,MFAC3508,3508,WILC,9846794
Local,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,55813,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Children's Health (Paeds),M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,Medium,Others,MFAC3506,3506,WILC,9846794
Local,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,Medium,Others,MFAC3505,3505,WILC,9846794
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,Medium,Others,MFAC3502,3502,WILC,9846794
Local,2025,5252,2025 Summer Term,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,Medium,Others,MFAC3501,3501,WILC,9846794
International,2025,5259,2025 Term 3,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,9856184
International,2025,5252,2025 Summer Term,Undergraduate,3502,Commerce,63930,1,COMM,UNSW Business School,COMM,UNSW Business School,Global Business Practicum,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM3020,3020,WILC,9945842
International,2025,5259,2025 Term 3,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2244,2244,WILC,10510454
Local,2025,5252,2025 Summer Term,Postgraduate,9150,Juris Doctor,65486,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",UNSW Law Internships,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,JURD7555,7555,WILC,10688847
Local,2025,5252,2025 Summer Term,Postgraduate,9150,Juris Doctor,66978,1,LAW,Faculty of Law and Justice,SCLAW,"School of Law, Society and Criminology",Law Internships Extended,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,JURD7777,7777,WILC,10688847
Local,2025,5252,2025 Summer Term,Undergraduate,3529,Commerce/Science,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,COMM3030,3030,WILC,10834887
International,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,64957,1,BOS,DVC (A) Board of Studies,BOS,DVC (A) Board of Studies,Practice of Work,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,CDEV3000,3000,WILC,12077066
Local,2025,5253,2025 Term 1,Postgraduate,8256,Psychology (Clinical),66386,1,SCI,Faculty of Science,PSYC,School of Psychology,Prof & Ethical Prac (Clin) 4,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,PSYC7234,7234,WILC,12485463
Local,2025,5253,2025 Term 1,Postgraduate,8256,Psychology (Clinical),67665,1,SCI,Faculty of Science,PSYC,School of Psychology,Professional Psychological,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,PSYC7777,7777,WILC,12485463
Local,2025,5256,2025 Term 2,Postgraduate,8256,Psychology (Clinical),66385,1,SCI,Faculty of Science,PSYC,School of Psychology,Prof & Ethical Prac (Clin) 5,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,PSYC7235,7235,WILC,12485463
Local,2025,5259,2025 Term 3,Postgraduate,8256,Psychology (Clinical),66384,1,SCI,Faculty of Science,PSYC,School of Psychology,Prof & Ethical Prac (Clin) 6,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,PSYC7236,7236,WILC,12485463
Local,2025,5256,2025 Term 2,Postgraduate,8256,Psychology (Clinical),67665,1,SCI,Faculty of Science,PSYC,School of Psychology,Professional Psychological,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,PSYC7777,7777,WILC,12485463
International,2025,5256,2025 Term 2,Postgraduate,8417,Commerce (Extension),64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,COMM5030,5030,WILC,12598158
Local,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Gateway ECO,COMM3030,3030,WILC,12742391
Local,2025,5252,2025 Summer Term,Undergraduate,3502,Commerce,65270,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Experience Program,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Gateway ECO,COMM2222,2222,WILC,12742391
Local,2025,5257,2025 Semester 2 Canberra,Undergraduate,4405,Business,55575,1,UNICL,UNSW Canberra at ADFA,ZBUS,UC School of Business,Business Capstone,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ZBUS3104,3104,WILC,12726170
Local,2025,5256,2025 Term 2,Undergraduate,4733,Commerce / Law,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,COMM2233,2233,WILC,12749392
Local,2025,5253,2025 Term 1,Undergraduate,3362,City Planning (Hons),66866,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,Practice: Ethics,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,PLAN3006,3006,WILC,12760618
Local,2025,5256,2025 Term 2,Undergraduate,3362,City Planning (Hons),66879,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,Practice: Policies,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,PLAN3009,3009,WILC,12760618
Local,2025,5256,2025 Term 2,Undergraduate,3362,City Planning (Hons),66880,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,Practice: Consultation,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,PLAN3008,3008,WILC,12760618
Local,2025,5253,2025 Term 1,Undergraduate,3362,City Planning (Hons),66871,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,Practice: Institutions,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,PLAN3007,3007,WILC,12760618
Local,2025,5259,2025 Term 3,Undergraduate,3362,City Planning (Hons),66874,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,Practice: Reflections,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,PLAN3010,3010,WILC,12760618
Local,2025,5253,2025 Term 1,Undergraduate,3784,Commerce / Computer Science,65713,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Exp.Placement 1,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,COMM3101,3101,WILC,12741061
Local,2025,5256,2025 Term 2,Undergraduate,3584,Commerce / Information Systems,65713,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Exp.Placement 1,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,COMM3101,3101,WILC,12741061
Local,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,65716,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 2,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC2515,2515,WILC,12745593
Local,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,65717,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 3,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC2516,2516,WILC,12745593
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,65718,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Integrated Clinical Studies 1,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC2514,2514,WILC,12745593
Local,2025,5253,2025 Term 1,Undergraduate,3785,Engineering (Hons) / Comp Sci,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,ENGG4999,4999,WILC,12736682
International,2025,5259,2025 Term 3,Postgraduate,8417,Commerce (Extension),64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,13255036
International,2025,5253,2025 Term 1,Postgraduate,8417,Commerce (Extension),66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5044,5044,WILC,13557803
International,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,13943376
International,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,27936090
International,2025,5256,2025 Term 2,Undergraduate,3341,Media,62809,1,ADA,"Faculty of Arts, Design and Architecture",ENGL,School of the Arts and Media,Media and Arts Internship,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ARTS3015,3015,WILC,28214318
International,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,Others,COMM5030,5030,WILC,28450673
International,2025,5256,2025 Term 2,Undergraduate,3341,Media,65310,1,ADA,"Faculty of Arts, Design and Architecture",ENGL,School of the Arts and Media,Doing Film Festivals,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ARTS2068,2068,WILC,28508790
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,28633131
International,2025,5253,2025 Term 1,Postgraduate,8404,Commerce,66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5044,5044,WILC,28975295
International,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,43445044
International,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2244,2244,WILC,43567822
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5044,5044,WILC,43888631
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,44679885
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,45956798
Local,2025,5253,2025 Term 1,Undergraduate,3764,Engineering (Hons)/Commerce,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,ENGG4999,4999,WILC,46988506
Local,2025,5253,2025 Term 1,Undergraduate,3762,AdvSci(Hons)/Engineering(Hons),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,47081007
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,ENGG4999,4999,WILC,47092690
Local,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,FEAS,ENGG4999,4999,WILC,47093415
Local,2025,5253,2025 Term 1,Undergraduate,3768,Eng (Hons) / MBiomedE,64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,FEAS,ENGG4999,4999,WILC,47086736
International,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3508,3508,WILC,1314274
International,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55819,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Selective,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3509,3509,WILC,1314274
International,2025,5252,2025 Summer Term,Undergraduate,3805,Medicine,64064,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Elective,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3514,3514,WILC,1314274
International,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,64063,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,PRINT,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3515,3515,WILC,1314274
International,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,MFAC3504,3504,WILC,1314274
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55816,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Critical Care,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,MFAC3508,3508,WILC,1630352
Local,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,64063,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,PRINT,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,MFAC3515,3515,WILC,1630352
Local,2025,5252,2025 Summer Term,Undergraduate,3805,Medicine,64064,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Elective,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,MFAC3514,3514,WILC,1630352
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55819,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Selective,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,MFAC3509,3509,WILC,1630352
Local,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,55808,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Psychiatry,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,MFAC3503,3503,WILC,1630352
Local,2025,5253,2025 Term 1,Undergraduate,3584,Commerce / Information Systems,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,HE,COMM3030,3030,WILC,1671681
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,High,ATAR,MFAC3505,3505,WILC,1667452
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55813,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Children's Health (Paeds),M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,High,ATAR,MFAC3506,3506,WILC,1667452
Local,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,64063,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,PRINT,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,High,ATAR,MFAC3515,3515,WILC,1667452
Local,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,55819,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Selective,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,High,ATAR,MFAC3509,3509,WILC,1667452
Local,2025,5252,2025 Summer Term,Undergraduate,3805,Medicine,64064,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Elective,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,High,ATAR,MFAC3514,3514,WILC,1667452
Local,2025,5259,2025 Term 3,Postgraduate,8095,Clinical Optometry,65112,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Optometry 4B,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,Others,OPTM6422,6422,WILC,9801652
Local,2025,5256,2025 Term 2,Postgraduate,8095,Clinical Optometry,65111,1,MED,Faculty of Medicine and Health,OPTOM,School of Optometry and Vision Science,Clinical Optometry 4A,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,Others,OPTM6412,6412,WILC,9801652
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55811,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Obstetrics & Gynaecology,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3505,3505,WILC,9836508
Local,2025,5253,2025 Term 1,Undergraduate,3805,Medicine,55806,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Medicine,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3501,3501,WILC,9836508
Local,2025,5252,2025 Summer Term,Undergraduate,3805,Medicine,55807,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Surgery,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3502,3502,WILC,9836508
Local,2025,5259,2025 Term 3,Undergraduate,3805,Medicine,55809,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Primary Care,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3504,3504,WILC,9836508
Local,2025,5256,2025 Term 2,Undergraduate,3805,Medicine,55813,1,MED,Faculty of Medicine and Health,MED,Faculty of Medicine and Health,Children's Health (Paeds),M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,MFAC3506,3506,WILC,9836508
International,2025,5259,2025 Term 3,Postgraduate,8404,Commerce,66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5044,5044,WILC,9912034
Local,2025,5256,2025 Term 2,Undergraduate,3970,Science,66698,1,MED,Faculty of Medicine and Health,APPP,School of Biomedical Sciences,SOMS Work Placement 1,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,SOMS3199,3199,WILC,10768877
Local,2025,5253,2025 Term 1,Undergraduate,4522,Construction Mngt & Prpty Hons,66712,1,ADA,"Faculty of Arts, Design and Architecture",BLTENS,School of Built Environment,ADA Professional Placement,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,FADA6700,6700,WILC,10842221
Local,2025,5252,2025 Summer Term,Undergraduate,3155,Actuarial Studies / Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,COMM3030,3030,WILC,10843424
Local,2025,5252,2025 Summer Term,Undergraduate,3521,Commerce/Economics,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,Others,COMM3030,3030,WILC,10841629
International,2025,5259,2025 Term 3,Undergraduate,4733,Commerce / Law,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2244,2244,WILC,12261454
Local,2025,5252,2025 Summer Term,Undergraduate,4733,Commerce / Law,65270,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Experience Program,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,High,ATAR,COMM2222,2222,WILC,12750690
Local,2025,5259,2025 Term 3,Undergraduate,3502,Commerce,63929,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entrepreneur Practicum,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Medium,ATAR,COMM3030,3030,WILC,12953341
International,2025,5256,2025 Term 2,Undergraduate,3586,Actuarial Studies,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2233,2233,WILC,13064531
International,2025,5259,2025 Term 3,Undergraduate,3502,Commerce,65607,1,COMM,UNSW Business School,COMM,UNSW Business School,Industry Consulting Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2233,2233,WILC,13291553
International,2025,5253,2025 Term 1,Undergraduate,3707,Engineering (Honours),64832,1,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,13311758
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,66441,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5044,5044,WILC,27959839
International,2025,5259,2025 Term 3,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,28082611
International,2025,5256,2025 Term 2,Undergraduate,3502,Commerce,66433,1,COMM,UNSW Business School,COMM,UNSW Business School,Future of Work Project,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM2244,2244,WILC,28098144
International,2025,5253,2025 Term 1,Postgraduate,8621,Engineering,64832,2,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,28183592
Local,2025,5253,2025 Term 1,Postgraduate,8926,Teaching (Secondary),65316,2,ADA,"Faculty of Arts, Design and Architecture",EDUC,School of Education,Prof Exp 2/Internship,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Major Cities of Australia,Low,Others,EDST6765,6765,WILC,28578781
International,2025,5256,2025 Term 2,Postgraduate,8404,Commerce,64962,1,COMM,UNSW Business School,COMM,UNSW Business School,Social Entre Practicum,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,COMM5030,5030,WILC,29047523
International,2025,5253,2025 Term 1,Postgraduate,8621,Engineering,64832,2,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,29071353
International,2025,5253,2025 Term 1,Postgraduate,8621,Engineering,64832,2,ENG,Faculty of Engineering,ENG,Faculty of Engineering,Industrial Training,F,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Unknown,Unknown,Others,ENGG4999,4999,WILC,29137285
Local,2025,5254,2025 Semester 1 Canberra,Undergraduate,4430,Technology (Aeronautical Eng),55648,1,UNICL,UNSW Canberra at ADFA,ZEIT,School of Engineering & Technology,Mechanical & Electronic Design,M,Non First Generation,Not of Aboriginal/T S Islander,Non Indigenous,Inner Regional Australia,Low,ATAR,ZEIT2501,2501,WILC,29494879
